image_id,street,citi,n_citi,bed,bath,sqft,price,house_cat
0,1317 Van Buren Avenue,Salton City,317,3,2,1560,201900,basic
1,124 C Street W,Brawley,48,3,2,713,228500,basic
2,2304 Clark Road,Imperial,152,3,1,800,273950,basic
3,755 Brawley Avenue,Brawley,48,3,1,1082,350000,basic
4,2207 R Carrillo Court,Calexico,55,4,3,2547,385100,basic
5,755 Brawley Avenue,Brawley,48,3,1,1082,350000,basic
6,1100 CAMILIA Street,Calexico,55,4,3,2769,415000,basic
7,803 Chaparral Court,Brawley,48,5,2,2600,545000,intermediate
8,803 Chaparral Court,Brawley,48,5,2,2600,545000,intermediate
9,2306 Lark Court,Salton City,317,4,5,3932,690000,intermediate
10,38833 Gorman Post Road,Gorman,129,3,2,4044,1350000,luxury
11,8072 Cuddy Valley Road,Frazier Park,122,5,5,6247,1499000,luxury
12,818 155th Street W,Rosamond,312,2,2,2466,1488000,luxury
13,12869 Sierra Way,Kernville,164,3,2,2686,995000,luxury
14,230 Gaskell Road,Rosamond,312,1,1,1048,2000000,luxury
15,8072 Cuddy Valley Road,Frazier Park,122,5,5,6247,1499000,luxury
16,11265 Steinhoff Road,Frazier Park,122,3,3,4597,1550000,luxury
17,12471 Boy Scout Camp Road,Frazier Park,122,8,3,4236,1850000,luxury
18,0 Oak Creek rd,Tehachapi,367,4,1,1980,1995000,luxury
19,226 Spruce Street,Tehachapi,367,4,2,1967,249950,basic
20,632 Grove Street,Arvin,20,4,2,1573,205000,basic
21,9225 Rea Avenue,California City,57,5,3,2065,249000,basic
22,6005 N charmain,Bakersfield,24,3,2,1087,195000,basic
23,3405 San Carlos,Frazier Park,122,3,2,1400,229000,basic
24,19800 Nonie Court,California City,57,3,2,1533,229000,basic
25,11001 Meacham Road,Bakersfield,24,2,1,966,239900,basic
26,3933 Encino,Frazier Park,122,3,2,1760,235000,basic
27,347 Cypress Street,Bakersfield,24,3,2,1478,239900,basic
28,3305 Reeder Avenue,Bakersfield,24,4,3,1876,240000,basic
29,2001 WILLIAM F. HALSEY Avenue,Bakersfield,24,3,2,1820,239990,basic
30,1835 Kavalier Ct,Bakersfield,24,3,2,1873,219000,basic
31,3409 Glendower Street,Rosamond,312,3,2,1265,220000,basic
32,2013 College Drive,Delano,99,3,1,1364,199500,basic
33,8308 Ailanthus Court,Bakersfield,24,3,2,1004,224990,basic
34,11801 Pasture Avenue,Tehachapi,367,4,3,3648,249000,basic
35,8315 Hemlock Court,Bakersfield,24,3,2,1608,250000,basic
36,2131 OAK Street,Rosamond,312,3,2,1504,225000,basic
37,608 Poinsettia Avenue,Rosamond,312,3,2,1425,255000,basic
38,21413 Yerba Boulevard,California City,57,5,3,2190,234900,basic
39,2822 Dixie Street,Rosamond,312,3,2,1500,245000,basic
40,9224 Evelyn Avenue,California City,57,3,2,1410,198000,basic
41,2504 Lebec Oaks Road,Lebec,196,3,2,1152,199900,basic
42,16521 Mil Potrero,Pine Mountain Club,282,3,2,1440,235000,basic
43,200 Oak Street,Frazier Park,122,2,2,1008,216500,basic
44,21110 S. Charlene Place,California City,57,3,2,1562,225000,basic
45,15808 Mil Potrero,Pine Mountain Club,282,2,1,974,210000,basic
46,14700 Tumbleweed Place,Frazier Park,122,3,1,1440,219000,basic
47,7108 Lakeview Drive,Frazier Park,122,2,1,896,198500,basic
48,4400 Vista Mesa Drive,Bakersfield,24,4,3,1848,219900,basic
49,2309 Symonds Drive,Pine Mountain Club,282,2,2,1378,249000,basic
50,228 W D Street,Tehachapi,367,4,2,1421,229900,basic
51,1942 El Rey Street,Rosamond,312,3,2,1222,216000,basic
52,3633 Capri Court,Rosamond,312,2,2,956,230000,basic
53,21410 Brook Drive,Tehachapi,367,3,2,1320,249000,basic
